english,urdu
"After publication of the Preliminary Notification , the District Price Assessment Committee, Rawalpindi (“DPAC ”), in its meeting held on 17.","ابتدائی نوٹیفکیشن کی اشاعت کے بعد، ڈسٹرکٹ پرائس اسسمنٹ کمیٹی، راولپنڈی (""DPAC"") نے 17 کو منعقدہ اپنے اجلاس میں۔"
"9.2011 , approved the estimated cost of the land to be acquired by fixing the market v alue of the land to be between Rs.60,000/ - to Rs.","9.2011، نے زمین کی مارکیٹ بمقابلہ قیمت 60,000/- سے روپے کے درمیان طے کر کے حاصل کی جانے والی زمین کی تخمینی قیمت کی منظوری دی۔"
"For various reasons, no further steps were taken by the petitioners in relation to the acquisition up till the issuance of an addendum to the Preliminary Notification on 12.",مختلف وجوہات کی بنا پر، 12 کو ابتدائی نوٹیفکیشن کے ضمیمہ کے اجراء تک درخواست گزاروں کی طرف سے حصول کے سلسلے میں مزید کوئی قدم نہیں اٹھایا گیا۔
"3.2020 , published in the official Gazette on 13.3.2020, whereby the land to be acquired in Tehsil Rawalpindi was increased from 7977 -Kanals 10-Marlas to 14720 -Kanals 17 -Marlas (“Addendum Notification ”).","3.2020، 13.3.2020 کو سرکاری گزٹ میں شائع ہوا، جس کے تحت تحصیل راولپنڈی میں حاصل کی جانی والی زمین کو 7977 کنال 10 مرلہ سے بڑھا کر 14720 کنال 17 مرلہ کر دیا گیا (""اضافی نوٹیفکیشن"")۔"
A meeting of the DPAC was held again on 20.,20 کو دوبارہ ڈی پی اے سی کی میٹنگ ہوئی۔
3.2020 to consider the price of the land and it approved the same valuation as had already been approved by the DPAC in 201 1.,زمین کی قیمت پر غور کرنے کے لیے 3.2020 اور اس نے وہی قدر کی منظوری دی جو 201 1 میں DPAC نے پہلے ہی منظور کی تھی۔
"Subsequently, a notification under Section s 17(4) and 6 of the Act was issued on 21.4.2020 , published in the official Gazette on 24.4.2020, whereby urgency was invoked to expedite the process of acquisition of the land, and the provisions of Section 5 and 5 -A of the Act were held not to be applicable (“Urgency Notification ”).",اس کے بعد، ایکٹ کے سیکشن 17(4) اور 6 کے تحت 21.4.2020 کو ایک نوٹیفکیشن جاری کیا گیا، جو 24.4.2020 کو سرکاری گزٹ میں شائع ہوا، جس میں اراضی کے حصول کے عمل کو تیز کرنے کے لیے فوری طور پر زور دیا گیا، اور سیکشن 5 کی دفعات کو لاگو کرنے کے قابل نہیں تھا۔ اطلاع”)۔
"The respondents challenged the acquisition proceedings, the above n otifica tions and the acts taken thereunder , by filing writ petitions .",جواب دہندگان نے رٹ پٹیشنز دائر کر کے حصول کی کارروائی، اوپر دیے گئے نوٹیفکیشنز اور اس کے تحت کیے گئے اقدامات کو چیلنج کیا۔
"Meanwhile , the award was announced on 13.",اسی دوران 13 کو ایوارڈ کا اعلان کیا گیا۔
"8.2020 (“Award ”) on the basis of the same valuation of land as determined by the DPAC in 2011 , and endorsed in 2020 , thereby, concluding the acqu isition proceedings after nearly 10 years .","8.2020 (""ایوارڈ"") زمین کی اسی قیمت کی بنیاد پر جس کا تعین DPAC نے 2011 میں کیا تھا، اور 2020 میں اس کی توثیق کی گئی تھی، اس طرح، تقریباً 10 سال کے بعد حصول کی کارروائی کو مکمل کیا گیا تھا۔"
"The writ petitions were allowed by the High Court throug h the impugned judgment and the notifications were set aside; however, the petitioners were set at liberty to initiate fresh proceedings for acquisition of the land for construction of the Dam by way of issuing a new notification under Section 4 of t he Act.",ہائی کورٹ نے غیر قانونی فیصلے کے ذریعے رٹ درخواستوں کی اجازت دی اور نوٹیفکیشنز کو ایک طرف رکھ دیا گیا۔ تاہم، درخواست گزاروں کو قانون کے سیکشن 4 کے تحت ایک نیا نوٹیفکیشن جاری کرنے کے ذریعے ڈیم کی تعمیر کے لیے زمین کے حصول کے لیے نئی کارروائی شروع کرنے کی آزادی دی گئی۔
"Hence, the petitioners have filed the present petitions seeking leave to appeal from the said impugned judgment .",لہذا، درخواست گزاروں نے موجودہ درخواستیں دائر کی ہیں جس میں مذکورہ غیر قانونی فیصلے سے اپیل کی اجازت مانگی گئی ہے۔
"The learned c ounsel for the petitioners has argued that preliminary notifications under Section 4 of the Act were issued in the year 2010 to acquire (i) land measuring 7977 -Kanals 10-Marlas in Tehsil Rawalpindi, (ii) land measuring 170 -Kanals 11-Marlas in Tehsil Kahuta and (iii) land measuring 10418 -Kanals 05 -Marlas in Tehsil Kallar Syedan, of District Rawalpindi; that the acquisition proceedings could not proceed further due to certain disputes as to the construction of t he Dam at the proposed location; that after resolution of those disputes , land measuring 10418 -Kanals 05-Marla s of Tehsil Kallar Syed an notified in 2010 was reduced to 1820 -Kanal s 15-Marla s and i n lieu of the said land, through the Addendum Notification issued in 2020, acquisition of land in Tehsil Raw alpindi was increased from 7977 -Kanal s 10-Marla s to 14720 -Kanal s 17-Marla s for construction of the Dam ; and that the value of the land was assessed according to the market value prevailing at the time of issuance of the Preliminary N otification as per Section 23 of the Act, and the A ward was then passed after fulfilling all the legal formalities.",درخواست گزاروں کے وکیل نے موقف اختیار کیا کہ ایکٹ کے سیکشن 4 کے تحت ابتدائی نوٹیفکیشن سال 2010 میں حاصل کرنے کے لیے جاری کیے گئے تھے (i) تحصیل راولپنڈی میں 7977 کنال 10 مرلہ زمین، (ii) 170 کنال زمین کی پیمائش اور 170 کنال اراضی۔ ضلع راولپنڈی کی تحصیل کلر سیداں میں 10418 کنال 05 مرلہ؛ کہ مجوزہ جگہ پر ڈیم کی تعمیر سے متعلق بعض تنازعات کی وجہ سے حصول کی کارروائی آگے نہیں بڑھ سکی؛ کہ ان تنازعات کے حل کے بعد تحصیل کلر سید کی 10418 کنال 05 مرلہ اراضی کو 2010 میں نوٹیفائیڈ کر کے 1820 کنال کی 15 مرلہ اور اس کے بدلے میں 1820 کنال کر دیا گیا اور اس کے بدلے میں 2018 میں اراضی کی تحویل کے ضمیمہ نوٹیفکیشن کے ذریعے 2010 میں اراضی کی تحویل میں دی گئی۔ ڈیم کی تعمیر کے لیے 7977 کنال 10 مرلہ سے بڑھا کر 14720 کنال 17 مرلہ کر دیا گیا۔ اور یہ کہ زمین کی قیمت کا اندازہ ایکٹ کے سیکشن 23 کے مطابق ابتدائی N نوٹیفکیشن کے اجراء کے وقت موجود مارکیٹ ویلیو کے مطابق لگایا گیا تھا، اور پھر تمام قانونی ضابطوں کو پورا کرنے کے بعد A وارڈ کو منظور کیا گیا تھا۔
"While explaining the delay in the proceedings, he has submitted that pursuant to the issuance of the Preliminary Notification, the Defence Housing Authority (“ DHA”) approached the Government of Punjab with a request to shift the site for the construction of the Dam about 06 kilometers upstream.","کارروائی میں تاخیر کی وضاحت کرتے ہوئے، انہوں نے عرض کیا کہ ابتدائی نوٹیفکیشن کے اجراء کے بعد، ڈیفنس ہاؤسنگ اتھارٹی (""DHA"") نے ڈیم کی تعمیر کے لیے سائٹ کو تقریباً 06 کلومیٹر اوپر کی طرف منتقل کرنے کی درخواست کے ساتھ حکومت پنجاب سے رابطہ کیا۔"
The Government of Punjab constituted a Committee on 04.,حکومت پنجاب نے 04 کو کمیٹی تشکیل دی۔
"2.2011 to consider the request, which recommended the original site of the Dam.",درخواست پر غور کرنے کے لیے 2.2011، جس میں ڈیم کی اصل جگہ کی سفارش کی گئی تھی۔
"The Government of Punjab then constituted another Committee to give a fresh recommendation vis-à-vis the feasibility of the site for construction of the Dam, which also recommended t he original site.",اس کے بعد حکومت پنجاب نے ڈیم کی تعمیر کے لیے سائٹ کی فزیبلٹی کے حوالے سے ایک نئی سفارش دینے کے لیے ایک اور کمیٹی تشکیل دی، جس نے اس کی اصل جگہ کی بھی سفارش کی۔
The matter then ended up before th is Court and was finally disposed of vide order dated 30.,اس کے بعد یہ معاملہ عدالت کے سامنے ختم ہوا اور آخر کار 30 تاریخ کے ویڈ آرڈر پر اسے نمٹا دیا گیا۔
4.2019 passed in Civil Review Petition No.,4.2019 کو سول ریویو پٹیشن نمبر میں منظور کیا گیا۔
"742 of 2015 , where after further steps under the Act were taken to conclude the acquisition proceedings as expeditiously as possible by invoking the urgency provisions of the Act .",2015 کا 742، جہاں ایکٹ کے تحت مزید اقدامات کے بعد ایکٹ کی فوری دفعات کو استعمال کرتے ہوئے حصول کی کارروائی کو جلد سے جلد مکمل کرنے کے لیے اٹھائے گئے تھے۔
"On the other hand, t he learned c ounsel for the respondents (landowners ) has supported the impugned judgment.",دوسری طرف، انہوں نے جواب دہندگان (زمینداروں) کے لئے سی صلاح سیکھی ہے جس نے غیر قانونی فیصلے کی حمایت کی ہے۔
"He has contended that after the issuance of the Preliminary Notification , the petitioners went into deep slumber and no further step s were taken for acquisition of the land ; and that after a lapse of more than 09 years , instead of initiating fresh acquisition proceedings, the petitioners issued the CP-1441/2021 etc .",انہوں نے دعویٰ کیا کہ ابتدائی نوٹیفکیشن کے اجراء کے بعد درخواست گزار گہری نیند میں چلے گئے اور زمین کے حصول کے لیے مزید کوئی قدم نہیں اٹھایا گیا۔ اور یہ کہ 09 سال سے زیادہ کے وقفے کے بعد، حصول کی نئی کارروائی شروع کرنے کے بجائے، درخواست گزاروں نے CP-1441/2021 وغیرہ جاری کیا۔
"4 Addendum Notification in order to deprive the respond ents and other landowners of fair compensation in view of the escalation in prices of the land during the said period, therefore, the High Court has rightly declared the notifications as redundant and illegal.",مذکورہ مدت کے دوران زمین کی قیمتوں میں اضافے کے پیش نظر جواب دہندگان اور دیگر زمینداروں کو منصفانہ معاوضے سے محروم کرنے کے لیے ضمیمہ کا نوٹیفکیشن، لہٰذا، ہائی کورٹ نے بجا طور پر نوٹیفکیشن کو بے کار اور غیر قانونی قرار دیا ہے۔
We have considered the respective contentions of the learned counsel for the parties and have examined the record of the case with their able assistance.,ہم نے فریقین کے وکیل کے متعلقہ دلائل پر غور کیا ہے اور ان کی مدد سے کیس کے ریکارڈ کا جائزہ لیا ہے۔
It appears that t he High C ourt has set aside the acquisition proceedings due to the inordinate delay in the issuanc e of the Addendum Notification.,ایسا لگتا ہے کہ ہائی سی اوورٹ نے ضمیمہ نوٹیفکیشن کے اجراء میں غیر معمولی تاخیر کی وجہ سے حصول کی کارروائی کو ایک طرف رکھ دیا ہے۔
"Therefore, t he pr esent case requires determination on the following questions: (i) Whether the District Collector had the lawful authority to issue the Addendum Notification and i f he had such authority, whether such authority has been exercised in a proper and legal manner under the law ; and (ii) What is the legal effect of the issuance of the Addendum Notification on the acquisition proceedings , particularly on the determination of compensation?",لہٰذا، اس کے سامنے آنے والا معاملہ درج ذیل سوالات کے تعین کا متقاضی ہے: (i) آیا ضلع کلکٹر کے پاس ضمیمہ نوٹیفکیشن جاری کرنے کا قانونی اختیار تھا اور اگر اس کے پاس ایسا اختیار تھا، آیا اس اختیار کو قانون کے تحت مناسب اور قانونی طریقے سے استعمال کیا گیا ہے۔ اور (ii) حصول کی کارروائی پر ضمیمہ نوٹیفکیشن کے اجراء کا قانونی اثر کیا ہے، خاص طور پر معاوضے کے تعین پر؟
We shall take up and decide the above questions in seriatim .,ہم مندرجہ بالا سوالات کو سیریئٹم میں اٹھائیں گے اور فیصلہ کریں گے۔
Authority to i ssue the Addendum N otification and its exercise 8.,ضمیمہ N کی اطلاع اور اس کی مشق 8 جاری کرنے کا اختیار۔
The Act neither provide s for nor prohibit s issuance of an addendum to a notification already issued under Section 4 of the Act .,یہ ایکٹ نہ تو ایکٹ کے سیکشن 4 کے تحت پہلے سے جاری کردہ نوٹیفکیشن کے ضمیمہ کو جاری کرنے کی اجازت دیتا ہے اور نہ ہی اس سے منع کرتا ہے۔
"However, as per Section 20 of the Punjab General Clauses Act 1956 (“1956 Act ”); where a power to issue a notification is conferred under an Act, then that power includes a power, exercisable in the like manner and subject to the like sanctions and conditions (if any) , to add to, amend, v ary or rescind any such notification so issued.",تاہم، پنجاب جنرل کلاز ایکٹ 1956 (“1956 ایکٹ”) کے سیکشن 20 کے مطابق؛ جہاں کسی ایکٹ کے تحت نوٹیفکیشن جاری کرنے کا اختیار دیا جاتا ہے، تو اس طاقت میں ایک طاقت شامل ہوتی ہے، جو اس طرح سے استعمال کی جا سکتی ہے اور اسی طرح کی پابندیوں اور شرائط (اگر کوئی ہے) کے ساتھ مشروط ہے، اس طرح جاری کردہ کسی بھی نوٹیفکیشن کو شامل کرنے، ترمیم کرنے، تبدیل کرنے یا منسوخ کرنے کا۔
A similar provision i s also contained in Section 21 of the [Federal] General Clauses Act 1897 .,اسی طرح کی ایک شق [وفاقی] جنرل کلاز ایکٹ 1897 کے سیکشن 21 میں بھی موجود ہے۔
"Therefore, in the absence of any provision in the Act that either expressly or by necessary impli cation prohibits the issuance of an addendum to a notification issued under Section 4, the District Collector is found to have the lawful authority , by virtue of Section 20 of the 1956 Act, to issue an addendum to the notification issued under Section 4 of the Act , as in the instant case, provided it was issued in the like manner and subject to the like s anctions and conditions under Section 4 of the Act.",لہٰذا، ایکٹ میں کسی ایسی شق کی عدم موجودگی میں جو یا تو واضح طور پر یا ضروری مضمرات کے ذریعے سیکشن 4 کے تحت جاری کردہ نوٹیفکیشن کے ضمیمہ کو جاری کرنے سے منع کرتا ہے، ضلع کلکٹر کو 1956 کے ایکٹ کے سیکشن 20 کی بنا پر، ایک ضمیمہ جاری کرنے کا قانونی اختیار پایا جاتا ہے، جیسا کہ ایکٹ 4 کے تحت جاری کیا گیا تھا، جیسا کہ ایکٹ میں جاری کیا گیا تھا۔ ایکٹ کے سیکشن 4 کے تحت اسی طرح کا طریقہ اور اسی طرح کی کارروائیوں اور شرائط کے تابع۔
Section 4 of the Act does not provide for any time limit for issuance of a notification under the said provision and stipulates that CP-1441/2021 etc .,ایکٹ کا سیکشن 4 مذکورہ پروویژن کے تحت نوٹیفکیشن جاری کرنے کے لیے کسی بھی وقت کی حد فراہم نہیں کرتا ہے اور یہ شرط رکھتا ہے کہ CP-1441/2021 وغیرہ۔
"5 ‘whenever’ it appears to the Collector that land in a locality is needed or likely needed for public purpose or for a company, a notification to that effect shall be published in the official Gazette.",5 'جب بھی' کلکٹر کو یہ معلوم ہوتا ہے کہ کسی علاقے میں زمین کی عوامی مقصد یا کسی کمپنی کے لیے ضرورت ہے یا ممکنہ طور پر اس کی ضرورت ہے، اس سلسلے میں ایک اطلاع سرکاری گزٹ میں شائع کی جائے گی۔
"The term ‘whenev er’ denotes that a notification under Section 4 of the Act in the first instance will be issued when ever the land is needed or likely to be needed for a public purpose or a company and therefore, complete discretion is extended to the Collector with regards to when it is required whereupon the notification shall be issued .",'whenev er' کی اصطلاح یہ بتاتی ہے کہ پہلی بار ایکٹ کے سیکشن 4 کے تحت ایک نوٹیفکیشن جاری کیا جائے گا جب کبھی کسی عوامی مقصد یا کمپنی کے لیے زمین کی ضرورت ہو یا اس کی ضرورت ہو اور اس لیے کلکٹر کو مکمل صوابدید دی جاتی ہے کہ کب اس کی ضرورت ہو جس کے بعد نوٹیفکیشن جاری کیا جائے گا۔
"However, the same connotation cannot be extended to the said term when an addendum or corrigendum is issued by the Collector, by exercising powers under Section 20 of the 1956 Act, in relation to the said notification .",تاہم، اسی مفہوم کو مذکورہ اصطلاح تک بڑھایا نہیں جا سکتا جب مذکورہ نوٹیفکیشن کے سلسلے میں، 1956 ایکٹ کے سیکشن 20 کے تحت اختیارات کا استعمال کرتے ہوئے کلکٹر کی طرف سے ایک ضمیمہ یا کوریجنڈم جاری کیا جاتا ہے۔
"Such an interpretation would amount to c onferring unlimited and unfettered powers to the Government to finalize/conclude the acquisition proceedings which would result in uncertainty as to whether the land would be acq uired or not and therefore, would be against the spirit of Article 23 of the Constitution1 that provides for the fundamental right of citizens to acquire, hold and dispose of property.",اس طرح کی تشریح حکومت کو حصول کی کارروائی کو حتمی شکل دینے/مکمل کرنے کے لیے لامحدود اور بلا روک ٹوک اختیارات فراہم کرنے کے مترادف ہو گی جس کے نتیجے میں یہ غیر یقینی صورتحال پیدا ہو جائے گی کہ آیا زمین ایکوائر کی جائے گی یا نہیں اور اس لیے یہ آئین کے آرٹیکل 23 کی روح کے خلاف ہو گی جو شہریوں کو جائیداد پر قبضے کا حق فراہم کرتا ہے۔
"Therefore, for the purpose of issuing an y such notification to add to, amend or vary a notification already issued under Section 4 of the Act, it is necessary to interpret the term ‘whenever’ appearing in Section 4, being a condition stipulated under the said provision while exercising the powers conferred under Section 20 of the 1956 Act .",لہذا، ایکٹ کے سیکشن 4 کے تحت پہلے سے جاری کردہ نوٹیفکیشن کو شامل کرنے، اس میں ترمیم کرنے یا تبدیل کرنے کے لیے اس طرح کے نوٹیفکیشن کو جاری کرنے کے مقصد کے لیے، 1956 ایکٹ کے سیکشن 20 کے تحت عطا کردہ اختیارات کا استعمال کرتے ہوئے، سیکشن 4 میں ظاہر ہونے والی اصطلاح ’جب بھی‘ کی تشریح کرنا ضروری ہے۔
"It is settled law that when a statute is silent about limitation, a reasonable time limit is to be supplied by the Courts.2 In Mehraj3 this Court interpreted the phrase ‘at any time’ appearing in Section 5 of the Act to mean ‘within a reasonable time’ and even though reasonable time was not definitively dealt with by providing a time limit, it was held that it would be determined accordi ng to the facts and circumstances of the case.",یہ طے شدہ قانون ہے کہ جب کوئی قانون حد بندی کے بارے میں خاموش ہو تو عدالتوں کو ایک معقول وقت کی حد فراہم کی جاتی ہے۔ 2 مہراج3 میں اس عدالت نے ایکٹ کے سیکشن 5 میں ظاہر ہونے والے جملہ 'کسی بھی وقت' کی تشریح کی جس کا مطلب ہے 'مناسب وقت کے اندر' اور اگرچہ معقول وقت کو قطعی طور پر نمٹایا نہیں گیا تھا کہ ایک وقت کی حد فراہم کر کے اس حقیقت کا تعین کیا جائے گا اور اس کا تعین کیا جائے گا۔ کیس کے حالات.
"Notably, the issuance of a notification under Section 5, after a notification under Section 4 is issued, is continuation of the acquisition proceedings, similarly, an addendum or a corrigendum to the notificat ion under Section 4 of the Act is also furtherance of the acquisition proceedings.",قابل ذکر بات یہ ہے کہ سیکشن 4 کے تحت نوٹیفکیشن جاری ہونے کے بعد سیکشن 5 کے تحت نوٹیفکیشن کا اجراء حصول کی کارروائی کا تسلسل ہے، اسی طرح ایکٹ کے سیکشن 4 کے تحت نوٹیفکیشن کے لیے ایک ضمیمہ یا درستگی بھی حصول کی کارروائی کو آگے بڑھاتی ہے۔
"The term ‘whenever’4 appearing in Section 4 of the Act is 1 The Constitution of the Islamic Republic of Pakistan, 1973.",ایکٹ کے سیکشن 4 میں 'جب بھی' 4 ظاہر ہوتا ہے وہ 1 اسلامی جمہوریہ پاکستان کا آئین، 1973 ہے۔
"2 Federal Land Commission v. Habib Ahmed, PLD 2011 SC 842; Commissioner Inland Revenue v. Yasmeen Bano, 2020 SCMR 1120.",2 فیڈرل لینڈ کمیشن بمقابلہ حبیب احمد، PLD 2011 SC 842؛ کمشنر ان لینڈ ریونیو بمقابلہ یاسمین بانو، 2020 SCMR 1120۔
"3 M/s Mehraj Flour Mills v. Provincial Government, 2001 SCMR 1806.",3 میسرز مہراج فلور ملز بمقابلہ صوبائی حکومت، 2001 SCMR 1806۔
"4 Defined as “ at any or every time that; if ever; no matter when” – Chambers 21st Century Dictionary, pg.","4 کی تعریف ""کسی بھی وقت یا ہر وقت کہ؛ اگر کبھی؛ کوئی فرق نہیں پڑتا جب"" - چیمبرز 21 ویں صدی کی لغت، صفحہ۔"
"1616 (Robinson et al., 2007); “at whatever time” – Words and Phrases, pg.","1616 (Robinson et al.، 2007)؛ ""کسی بھی وقت"" - الفاظ اور جملے، صفحہ۔"
6 also syno nymous to ‘at any time’ appearing under Section 5.,6 بھی سیکشن 5 کے تحت ظاہر ہونے والے 'کسی بھی وقت' کے مترادف ہے۔
"Therefore, the same interpretation is to be extended to ‘whenever’ appearing in Section 4 of the Act when an addendum or corrigendum is issued in relation thereto .5 Hence, where any notification is issued to amend, vary or add to the earlier notification issued under Section 4 of the Act, the same is to be iss ued within a reasonable time which shall be determined according to the specific facts and circumstances of the case.",لہذا، اسی تشریح کو ایکٹ کے سیکشن 4 میں 'جب بھی' ظاہر کیا جائے گا جب اس کے سلسلے میں کوئی ضمیمہ یا کوریجنڈم جاری کیا گیا ہو۔
"However, it must be noted that an addendum or corrigendum to a notification under Section 4 cannot be issued after a notification under Section 5 or Section 17(4) of the Act has been issued pursuant to the said notification under Section 4 , though fresh acquisition proceeding s can be initiated by issuing a fresh notification under Section 4 of the Act if some more land is needed or likely to be needed later for the sa me purpose.",تاہم، یہ واضح رہے کہ سیکشن 4 کے تحت نوٹیفکیشن کا ضمیمہ یا کوریجنڈم سیکشن 4 کے تحت مذکورہ نوٹیفکیشن کے مطابق ایکٹ کے سیکشن 5 یا سیکشن 17(4) کے تحت نوٹیفکیشن جاری کیے جانے کے بعد جاری نہیں کیا جا سکتا، حالانکہ نئے حصول کی کارروائی شروع کی جا سکتی ہے اگر بعد میں سیکشن 4 کے تحت کسی نئے نوٹیفکیشن کی ضرورت ہو تو مزید اراضی جاری کرنے کی ضرورت ہے۔ میرا مقصد ہے.
"This is because the next step after the issuance of a notification under S ection 4 in an acquisition proceeding, as shall be explained later herein, is either to issue a notifica tion under Section 5 in the ordinary acquisition proce ss or to issue a notification under Section 17(4) for urgent acquisition of the land .",اس کی وجہ یہ ہے کہ حصول کی کارروائی میں سیکشن 4 کے تحت نوٹیفکیشن کے اجراء کے بعد اگلا مرحلہ، جیسا کہ بعد میں اس کی وضاحت کی جائے گی، یا تو عام حصول کے عمل میں دفعہ 5 کے تحت نوٹیفکیشن جاری کرنا ہے یا فوری حصول کے لیے سیکشن 17(4) کے تحت نوٹیفکیشن جاری کرنا ہے۔
"After the issuance of a notification either under Section 5 or under Section 17(4), the same acqui sition proceeding cannot revert to the initial stage of issuing a premilinary notificat ion under Section 4 of the Act.",یا تو سیکشن 5 کے تحت یا سیکشن 17(4) کے تحت نوٹیفکیشن جاری ہونے کے بعد، اسی حصول کی کارروائی ایکٹ کے سیکشن 4 کے تحت ابتدائی نوٹیفکیشن جاری کرنے کے ابتدائی مرحلے میں واپس نہیں جا سکتی۔
An addendum or corrigendum to a notifica tion under Section 4 can thus only be issued before the next step in the acquisition proc ess is undertaken i.e.,سیکشن 4 کے تحت نوٹیفکیشن کا ضمیمہ یا درستگی اس طرح صرف حصول کے عمل میں اگلا مرحلہ شروع ہونے سے پہلے ہی جاری کیا جا سکتا ہے یعنی
before the issuance of a notification under Section 5 or under Section 17(4) of the Act .,سیکشن 5 کے تحت یا ایکٹ کے سیکشن 17(4) کے تحت نوٹیفکیشن جاری کرنے سے پہلے۔
"Coming to the instant case, i n the normal course of acquisition such an inordinate delay in issuing the Addendum Notification , as has occurred in the present case , could not have been sustained.",فوری کیس کی طرف آتے ہیں، حصول کے معمول کے مطابق ضمیمہ نوٹیفکیشن جاری کرنے میں اس قدر غیر معمولی تاخیر، جیسا کہ موجودہ کیس میں ہوا ہے، برقرار نہیں رہ سکتا تھا۔
"However, i n the instant case , after the Preliminary Notification was issued and the request for shifting the Dam to an alternate location was rejected, the matter then ended up before this Court and was finally disposed of vide order dated 30.4.2019 passed in Civil Review Petition No.",تاہم، فوری طور پر کیس میں، ابتدائی نوٹیفکیشن جاری ہونے اور ڈیم کو متبادل جگہ پر منتقل کرنے کی درخواست مسترد ہونے کے بعد، یہ معاملہ پھر اس عدالت کے سامنے ختم ہو گیا اور بالآخر 30.4.2019 کو سول ریویو پٹیشن نمبر میں منظور ہونے والے حکم نامے پر اسے نمٹا دیا گیا۔
742 of 2015 with the outcome that the Dam will be built on the original site.,2015 کے 742 نتائج کے ساتھ کہ ڈیم اصل جگہ پر بنایا جائے گا۔
"In these circumstances, the acquisition proceedings could not have continued while the matter was under adjudication and there 5 See Anwar Ali Sahto v. FOP, 2002 PLC (CS) 526; Phoenix Security v. Pir Muhammad, 2020 SCMR 132; Khyber Zaman v. Gover nor, State Bank, 2005 SCMR 235.",ان حالات میں، حصول کی کارروائی جاری نہیں رہ سکتی تھی جب تک معاملہ زیر سماعت تھا اور 5 دیکھیں انور علی سہتو بمقابلہ FOP، 2002 PLC (CS) 526؛ فینکس سیکورٹی بمقابلہ پیر محمد، 2020 SCMR 132؛ خیبر زمان بمقابلہ گورنر نہ ہی اسٹیٹ بینک، 2005 SCMR 235۔
7 was uncertainty as to the site of the Dam.,7 ڈیم کی جگہ کے بارے میں غیر یقینی صورتحال تھی۔
The Ad dendum Notification was then subsequently issued after the matter was conclusively disposed of by this Court.,اس کے بعد اس عدالت کی طرف سے معاملے کو حتمی طور پر نمٹانے کے بعد ایڈ ڈینڈم نوٹیفکیشن جاری کیا گیا۔
"No further steps in the acquisition proceedings had been taken between the issuance of the Preliminary Notification and the issuance of the Addend um Notification , therefore, the matter was still in the initial preliminary notification stage under Section 4 of the Act .",ابتدائی نوٹیفکیشن کے اجراء اور اضافی ام نوٹیفکیشن کے اجراء کے درمیان حصول کی کارروائی میں مزید کوئی قدم نہیں اٹھایا گیا تھا، اس لیے یہ معاملہ ایکٹ کے سیکشن 4 کے تحت ابھی ابتدائی ابتدائی نوٹیفکیشن کے مرحلے میں تھا۔
"If the next step in the acquisition proceedings , through the issuance of a notification under Section 5 or Section 17(4), had been ta ken after the issuance of the Preliminary Notification, then the Addendum Notification to the Preliminary Notification under Section 4 of the Act could not have been issued or sustained .",اگر حصول کی کارروائی کا اگلا مرحلہ، سیکشن 5 یا سیکشن 17(4) کے تحت ایک نوٹیفکیشن کے اجراء کے ذریعے، ابتدائی نوٹیفکیشن کے اجراء کے بعد روک دیا گیا تھا، تو ایکٹ کے سیکشن 4 کے تحت ابتدائی نوٹیفکیشن کا ضمیمہ جاری یا برقرار نہیں رکھا جا سکتا تھا۔
"This is because once steps are taken to advance the acquisition proceedings to the next stage, they cannot be reverted to the previous stage, though fresh acquisition proceedings can be initiated by issuing a fresh notification under Section 4 of the Act i f more land is needed or likely to be needed for the same purpose later, as stated above .",اس کی وجہ یہ ہے کہ حصول کی کارروائی کو اگلے مرحلے تک آگے بڑھانے کے لیے ایک بار قدم اٹھائے جانے کے بعد، انہیں پچھلے مرحلے میں واپس نہیں کیا جا سکتا، حالانکہ ایکٹ کے سیکشن 4 کے تحت تازہ نوٹیفکیشن جاری کر کے حصول کی کارروائی شروع کی جا سکتی ہے اگر مزید زمین کی ضرورت ہو یا اس مقصد کے لیے بعد میں ضرورت ہو، جیسا کہ اوپر بتایا گیا ہے۔
"Therefore, in the said circumstances, the Addendum Notification was issued within a reasonable time and cannot be set aside being based on malafide.",لہٰذا، مذکورہ حالات میں، ضمیمہ کا نوٹیفکیشن ایک مناسب وقت کے اندر جاری کیا گیا تھا اور اسے خرابی کی بنیاد پر الگ نہیں کیا جا سکتا۔
"The Collector is, therefore, found to have exercised his legal authority to issue the Addendum Notification to the Preliminary Notification in a proper and legal manner under the law , in the circumstances of the case.",لہذا، کلکٹر نے کیس کے حالات میں، قانون کے تحت مناسب اور قانونی طریقے سے ابتدائی نوٹیفکیشن کو ضمیمہ کی اطلاع جاری کرنے کے لیے اپنے قانونی اختیار کا استعمال کیا ہے۔
Invoking urgency through the subsequent Urgency Notification is also found to be a reasonable decision in view of the delay already occurred due to the prolonged litigation regarding the location of the Dam and the urgent need of building dams in Pakistan.,ڈیم کے محل وقوع اور پاکستان میں ڈیموں کی تعمیر کی فوری ضرورت کے حوالے سے طویل قانونی چارہ جوئی کی وجہ سے پہلے سے ہونے والی تاخیر کے پیش نظر بعد میں فوری نوٹس کے ذریعے عجلت کی درخواست کرنا بھی ایک معقول فیصلہ ہے۔
The l egal effect of issuance of an addendum n otification on the acquisition proceedings 13.,حصول کی کارروائی پر ضمیمہ اور اطلاع کے اجراء کا بنیادی اثر 13۔
